PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
4.16071e+06,5.0991e+07,locality,RINGWOOD NORTH,668,RINGWOOD NORTH,VIC,4712,2002-01-14,0,2016-07-06
4.1607e+06,5.0991e+07,locality,PARKVILLE,624,PARKVILLE,VIC,4712,2002-01-14,0,2016-07-06
4.16071e+06,5.0991e+07,locality,BALLIANG EAST,92,BALLIANG EAST,VIC,4712,2002-01-14,0,2016-07-06
9.97193e+06,5.0991e+07,locality,SIMPSONS CREEK,8853,SIMPSONS CREEK,VIC,4712,2002-02-25,0,2016-07-06
4.16069e+06,5.0991e+07,locality,TRAVANCORE,786,TRAVANCORE,VIC,4712,2002-01-14,0,2016-07-06
9.97193e+06,5.09909e+07,locality,TOORLOO ARM,13190,TOORLOO ARM,VIC,4712,2002-02-25,0,2016-07-06
4.16071e+06,5.09909e+07,locality,CROXTON EAST,12518,CROXTON EAST,VIC,4897,2002-01-14,0,2016-07-06
4.16071e+06,5.0991e+07,locality,ASCOT VALE,76,ASCOT VALE,VIC,4712,2002-01-14,0,2016-07-06
4.16051e+06,5.09912e+07,locality,MOUNT NAPIER,12533,MOUNT NAPIER,VIC,4897,2002-01-14,0,2016-07-06
4.1605e+06,5.09912e+07,locality,GARDENVALE,347,GARDENVALE,VIC,4712,2002-01-14,0,2016-07-06
9.97197e+06,5.09912e+07,locality,NYERIMILANG,13212,NYERIMILANG,VIC,4712,2002-02-25,0,2016-07-06
